INFO  | 2023-03-10 12:24:57 | [main] context.ContextLoader (ContextLoader.java:271) - Root WebApplicationContext: initialization started
INFO  | 2023-03-10 12:24:58 | [main] core.SpringSecurityCoreVersion (SpringSecurityCoreVersion.java:81) - You are running with Spring Security Core 5.3.4.RELEASE
WARN  | 2023-03-10 12:24:58 | [main] core.SpringSecurityCoreVersion (SpringSecurityCoreVersion.java:84) - **** You are advised to use Spring 5.2.8.RELEASE or later with this version. You are running: 5.2.4.RELEASE
INFO  | 2023-03-10 12:24:58 | [main] config.SecurityNamespaceHandler (SecurityNamespaceHandler.java:79) - Spring Security 'config' module version is 5.3.4.RELEASE
INFO  | 2023-03-10 12:24:59 | [main] http.FilterInvocationSecurityMetadataSourceParser (FilterInvocationSecurityMetadataSourceParser.java:194) - Creating access control expression attribute 'hasRole('USER_MAKER')' for /maker/**
INFO  | 2023-03-10 12:24:59 | [main] http.FilterInvocationSecurityMetadataSourceParser (FilterInvocationSecurityMetadataSourceParser.java:194) - Creating access control expression attribute 'hasRole('USER_CHECKER')' for /checker/**
INFO  | 2023-03-10 12:25:00 | [main] http.AuthenticationConfigBuilder (AuthenticationConfigBuilder.java:666) - No login page configured. The default internal one will be used. Use the 'login-page' attribute to set the URL of the login page.
INFO  | 2023-03-10 12:25:00 | [main] http.HttpSecurityBeanDefinitionParser (HttpSecurityBeanDefinitionParser.java:314) - Checking sorted filter chain: [Root bean: class [org.springframework.security.web.context.SecurityContextPersistenceFilter]; scope=; abstract=false; lazyInit=null; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 200, Root bean: class [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter]; scope=; abstract=false; lazyInit=null; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 400, Root bean: class [org.springframework.security.web.header.HeaderWriterFilter]; scope=; abstract=false; lazyInit=null; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 500, Root bean: class [org.springframework.security.web.csrf.CsrfFilter]; scope=; abstract=false; lazyInit=null; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 700, Root bean: class [org.springframework.security.web.authentication.logout.LogoutFilter]; scope=; abstract=false; lazyInit=null; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 800, <org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter#0>, order = 1400, Root bean: class [org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter]; scope=; abstract=false; lazyInit=null; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 1600, Root bean: class [org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter]; scope=; abstract=false; lazyInit=null; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 1700, Root bean: class [org.springframework.security.web.authentication.www.BasicAuthenticationFilter]; scope=; abstract=false; lazyInit=null; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 2000, Root bean: class [org.springframework.security.web.savedrequest.RequestCacheAwareFilter]; scope=; abstract=false; lazyInit=null; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 2100, Root bean: class [null]; scope=; abstract=false; lazyInit=null; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.security.config.http.HttpConfigurationBuilder$SecurityContextHolderAwareRequestFilterBeanFactory#0; factoryMethodName=getBean; initMethodName=null; destroyMethodName=null, order = 2200, Root bean: class [org.springframework.security.web.authentication.AnonymousAuthenticationFilter]; scope=; abstract=false; lazyInit=null; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 2500, Root bean: class [org.springframework.security.web.session.SessionManagementFilter]; scope=; abstract=false; lazyInit=null; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 2700, Root bean: class [org.springframework.security.web.access.ExceptionTranslationFilter]; scope=; abstract=false; lazyInit=null; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 2800, <org.springframework.security.web.access.intercept.FilterSecurityInterceptor#0>, order = 2900]
INFO  | 2023-03-10 12:25:04 | [main] web.DefaultSecurityFilterChain (DefaultSecurityFilterChain.java:43) - Creating filter chain: any request, [org.springframework.security.web.context.SecurityContextPersistenceFilter@bfe49f9, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5655d64, org.springframework.security.web.header.HeaderWriterFilter@3f31ccef, org.springframework.security.web.csrf.CsrfFilter@25297d52, org.springframework.security.web.authentication.logout.LogoutFilter@7efcdcde, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@2ef99072, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@7f9f3516, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@67dc7d0, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@192800d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@34f636a5, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2a882681, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@15c46930, org.springframework.security.web.session.SessionManagementFilter@330a6b76, org.springframework.security.web.access.ExceptionTranslationFilter@216fe151, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@46d8d38]
INFO  | 2023-03-10 12:25:04 | [main] http.DefaultFilterChainValidator (DefaultFilterChainValidator.java:154) - Checking whether login URL '/login' is accessible with your configuration
INFO  | 2023-03-10 12:25:05 | [main] util.Version (Version.java:30) - HV000001: Hibernate Validator 5.3.6.Final
